neuron_id,condition,cell_line,drug,well,tile,stimulation,original_hdf5,num_timepoints,timepoint,timepoint_idx,rfp1_path,halo_path,label_stimulation,label_cell_line,label_timepoint,label_stim_time,label_cell_time,label_cell_stim,label_all,label_6class,class_label,label_binary,confidence_class0,confidence_class1,predicted_class
B3_tile2_n236,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_236.h5,16,T0,0,images/RFP1/B3_tile2_n236_T0.png,images/Halo/B3_tile2_n236_T0.png,10000ms,Control,T0,10000ms_T0,Control_T0,Control_10000ms,Control_10000ms_T0,Control_T0,unknown,unknown,0.5511322,0.44886777,0
B3_tile2_n236,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_236.h5,16,T15,15,images/RFP1/B3_tile2_n236_T15.png,images/Halo/B3_tile2_n236_T15.png,10000ms,Control,T15,10000ms_T15,Control_T15,Control_10000ms,Control_10000ms_T15,Control_10000ms_T16,unknown,unknown,0.6507288,0.34927115,0
B3_tile2_n114,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_114.h5,16,T0,0,images/RFP1/B3_tile2_n114_T0.png,images/Halo/B3_tile2_n114_T0.png,10000ms,Control,T0,10000ms_T0,Control_T0,Control_10000ms,Control_10000ms_T0,Control_T0,unknown,unknown,0.7481204,0.25187954,0
B3_tile2_n114,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_114.h5,16,T15,15,images/RFP1/B3_tile2_n114_T15.png,images/Halo/B3_tile2_n114_T15.png,10000ms,Control,T15,10000ms_T15,Control_T15,Control_10000ms,Control_10000ms_T15,Control_10000ms_T16,unknown,unknown,0.7616643,0.2383357,0
B3_tile3_n18,Control,Control,DMSO,B3,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_3_18.h5,16,T0,0,images/RFP1/B3_tile3_n18_T0.png,images/Halo/B3_tile3_n18_T0.png,10000ms,Control,T0,10000ms_T0,Control_T0,Control_10000ms,Control_10000ms_T0,Control_T0,unknown,unknown,0.63273746,0.3672625,0
B3_tile3_n18,Control,Control,DMSO,B3,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_3_18.h5,16,T15,15,images/RFP1/B3_tile3_n18_T15.png,images/Halo/B3_tile3_n18_T15.png,10000ms,Control,T15,10000ms_T15,Control_T15,Control_10000ms,Control_10000ms_T15,Control_10000ms_T16,unknown,unknown,0.7157867,0.28421324,0
B3_tile1_n114,Control,Control,DMSO,B3,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_1_114.h5,16,T0,0,images/RFP1/B3_tile1_n114_T0.png,images/Halo/B3_tile1_n114_T0.png,0ms,Control,T0,0ms_T0,Control_T0,Control_0ms,Control_0ms_T0,Control_T0,unknown,unknown,0.068186454,0.9318136,1
B3_tile1_n114,Control,Control,DMSO,B3,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_1_114.h5,16,T15,15,images/RFP1/B3_tile1_n114_T15.png,images/Halo/B3_tile1_n114_T15.png,0ms,Control,T15,0ms_T15,Control_T15,Control_0ms,Control_0ms_T15,Control_0ms_T16,unknown,unknown,0.7516442,0.24835576,0
B3_tile4_n180,Control,Control,DMSO,B3,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_4_180.h5,16,T0,0,images/RFP1/B3_tile4_n180_T0.png,images/Halo/B3_tile4_n180_T0.png,0ms,Control,T0,0ms_T0,Control_T0,Control_0ms,Control_0ms_T0,Control_T0,unknown,unknown,0.7082863,0.2917137,0
B3_tile4_n180,Control,Control,DMSO,B3,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_4_180.h5,16,T15,15,images/RFP1/B3_tile4_n180_T15.png,images/Halo/B3_tile4_n180_T15.png,0ms,Control,T15,0ms_T15,Control_T15,Control_0ms,Control_0ms_T15,Control_0ms_T16,unknown,unknown,0.54718876,0.45281124,0
