well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
F20,3,T0,APPV717I,10000ms,52,0.6999585,0.19299912,0.3000415,0.19299912,0.1346153846153846
F20,3,T15,APPV717I,10000ms,52,0.6558821,0.21199009,0.34411785,0.21199007,0.23076923076923078
F20,4,T0,APPV717I,0ms,43,0.71639246,0.1862868,0.2836075,0.18628679,0.06976744186046512
F20,4,T15,APPV717I,0ms,43,0.6706285,0.22981192,0.32937148,0.2298119,0.18604651162790697
F22,1,T0,APPV717I,0ms,34,0.6843905,0.21847151,0.3156095,0.21847151,0.14705882352941177
F22,1,T15,APPV717I,0ms,34,0.6682561,0.2723699,0.33174393,0.2723699,0.17647058823529413
F22,2,T0,APPV717I,10000ms,32,0.6429174,0.22224888,0.35708264,0.22224888,0.15625
F22,2,T15,APPV717I,10000ms,32,0.6425652,0.23881188,0.3574348,0.23881188,0.1875
F22,3,T0,APPV717I,10000ms,39,0.6766697,0.24064465,0.32333028,0.24064463,0.1282051282051282
F22,3,T15,APPV717I,10000ms,39,0.68398887,0.24006444,0.31601116,0.24006443,0.1282051282051282
F22,4,T0,APPV717I,0ms,67,0.69270617,0.19310524,0.30729383,0.19310524,0.16417910447761194
F22,4,T15,APPV717I,0ms,67,0.67175764,0.2386966,0.32824233,0.23869659,0.1791044776119403
F23,1,T0,APPV717I,0ms,15,0.5574151,0.30823037,0.44258487,0.30823037,0.26666666666666666
F23,1,T15,APPV717I,0ms,15,0.57467395,0.30312026,0.42532602,0.3031203,0.3333333333333333
F23,2,T0,APPV717I,10000ms,32,0.71893567,0.19549166,0.28106436,0.19549164,0.09375
F23,2,T15,APPV717I,10000ms,32,0.7224726,0.19352785,0.2775274,0.19352785,0.09375
F23,3,T0,APPV717I,10000ms,27,0.6808816,0.24719593,0.31911835,0.24719593,0.2222222222222222
F23,3,T15,APPV717I,10000ms,27,0.6908378,0.22327875,0.3091622,0.22327875,0.1111111111111111
F23,4,T0,APPV717I,0ms,28,0.70037985,0.22237553,0.29962015,0.22237553,0.14285714285714285
F23,4,T15,APPV717I,0ms,28,0.7122739,0.15506497,0.28772613,0.15506497,0.14285714285714285
F7,1,T0,APPV717I,0ms,2,0.6093875,0.13721998,0.39061254,0.13722,0.0
F7,1,T15,APPV717I,0ms,2,0.49270144,0.11124285,0.5072986,0.11124285,0.5
F7,2,T0,APPV717I,10000ms,38,0.6786044,0.2496882,0.3213956,0.24968818,0.13157894736842105
F7,2,T15,APPV717I,10000ms,38,0.62923425,0.2619694,0.37076575,0.2619694,0.2894736842105263
F7,3,T0,APPV717I,10000ms,59,0.6545507,0.27583513,0.34544936,0.27583513,0.1864406779661017
F7,3,T15,APPV717I,10000ms,59,0.6183345,0.28848737,0.3816655,0.2884874,0.2711864406779661
F7,4,T0,APPV717I,0ms,27,0.7649058,0.15591995,0.23509423,0.15591995,0.07407407407407407
F7,4,T15,APPV717I,0ms,27,0.74681437,0.14734524,0.2531856,0.14734523,0.07407407407407407
G10,2,T0,APPV717I,10000ms,38,0.66418546,0.21375942,0.33581457,0.21375944,0.18421052631578946
G10,2,T15,APPV717I,10000ms,38,0.58833766,0.27731225,0.41166237,0.27731225,0.3157894736842105
G10,3,T0,APPV717I,10000ms,48,0.7265818,0.17444517,0.27341822,0.17444517,0.0625
G10,3,T15,APPV717I,10000ms,48,0.65162617,0.22408451,0.34837386,0.22408451,0.1875
G10,4,T0,APPV717I,0ms,52,0.71903825,0.18982072,0.28096175,0.18982072,0.057692307692307696
G10,4,T15,APPV717I,0ms,52,0.6366879,0.22266206,0.36331213,0.22266206,0.19230769230769232
H23,1,T0,APPV717I,0ms,17,0.6902781,0.10842781,0.30972186,0.108427815,0.058823529411764705
H23,1,T15,APPV717I,0ms,17,0.6908412,0.14940692,0.30915883,0.14940692,0.11764705882352941
H23,2,T0,APPV717I,10000ms,26,0.714509,0.1850323,0.285491,0.1850323,0.07692307692307693
H23,2,T15,APPV717I,10000ms,26,0.7244419,0.10015684,0.27555814,0.10015685,0.038461538461538464
H23,3,T0,APPV717I,10000ms,28,0.6818752,0.1874475,0.31812474,0.1874475,0.17857142857142858
H23,3,T15,APPV717I,10000ms,28,0.6867463,0.16590737,0.31325364,0.16590737,0.07142857142857142
H23,4,T0,APPV717I,0ms,29,0.66701126,0.1553967,0.33298877,0.15539669,0.06896551724137931
H23,4,T15,APPV717I,0ms,29,0.6834857,0.13671161,0.3165143,0.13671161,0.10344827586206896
H24,1,T0,APPV717I,0ms,18,0.6446481,0.21869437,0.35535192,0.21869437,0.16666666666666666
H24,1,T15,APPV717I,0ms,18,0.59624314,0.22851934,0.40375686,0.22851934,0.2777777777777778
H24,2,T0,APPV717I,10000ms,23,0.5880317,0.26678303,0.41196832,0.26678306,0.34782608695652173
H24,2,T15,APPV717I,10000ms,23,0.57209814,0.21849604,0.4279019,0.21849604,0.2608695652173913
H24,3,T0,APPV717I,10000ms,18,0.5484659,0.30320078,0.45153412,0.30320078,0.3333333333333333
H24,3,T15,APPV717I,10000ms,18,0.5893907,0.23604907,0.41060933,0.23604907,0.2777777777777778
H24,4,T0,APPV717I,0ms,33,0.53226197,0.27414674,0.467738,0.27414674,0.3939393939393939
H24,4,T15,APPV717I,0ms,33,0.5083863,0.24955198,0.4916137,0.249552,0.42424242424242425
I19,1,T0,APPV717I,0ms,17,0.5368929,0.22865467,0.4631071,0.22865467,0.35294117647058826
I19,1,T15,APPV717I,0ms,17,0.48919308,0.3133036,0.510807,0.3133036,0.35294117647058826
